id;name;description;price;product_size;image;image_content_type;product_category_id
1;ally;strawberry deliberately;8149.47;M;../fake-data/blob/hipster.png;image/png;1
2;oof;readdress hmph;4785.66;M;../fake-data/blob/hipster.png;image/png;2
3;wildly;down indeed carefully;1245.6;XL;../fake-data/blob/hipster.png;image/png;3
4;woot;unscramble;27961.23;XXL;../fake-data/blob/hipster.png;image/png;4
5;ouch breakable;posh hence;1347.45;S;../fake-data/blob/hipster.png;image/png;5
6;choir sans;moist wisely questioningly;1107.67;M;../fake-data/blob/hipster.png;image/png;6
7;lively up harp;calibrate;26719.7;S;../fake-data/blob/hipster.png;image/png;7
8;when lather indeed;unto afterwards sore;31734.52;S;../fake-data/blob/hipster.png;image/png;8
9;underneath youngster;whereas;28308.37;L;../fake-data/blob/hipster.png;image/png;9
10;optimistic ferociously unto;hole lavish strong;11322.86;M;../fake-data/blob/hipster.png;image/png;10
