id;placed_date;status;total_price;payment_method;payment_reference;customer_details_id
1;2024-06-04T02:42:58;REFUNDED;1116.69;CREDIT_CARD;whoa instantly;1
2;2024-06-04T14:15:46;REFUNDED;17057.4;CREDIT_CARD;yet;2
3;2024-06-03T14:53:44;PENDING;853.97;CREDIT_CARD;but promptly dazzle;2
4;2024-06-04T03:20:58;CANCELLED;1809.82;CREDIT_CARD;ha besides;1
5;2024-06-04T11:04:16;REFUNDED;1086.64;CREDIT_CARD;inasmuch;2
6;2024-06-04T09:43:07;CANCELLED;20093.08;IDEAL;like before;1
7;2024-06-03T15:34:16;COMPLETED;27990.52;CREDIT_CARD;upon though;2
8;2024-06-04T00:51:45;REFUNDED;25501.25;CREDIT_CARD;length;2
9;2024-06-03T14:33:18;REFUNDED;15777.76;CREDIT_CARD;timely unnaturally legging;2
10;2024-06-04T12:42:17;PENDING;25493.56;CREDIT_CARD;gosh;1
